"NUMPOL","EXPO","ZONA","POTENCIA","ANTIGUEDAD_VEHICULO","EDAD_CONDUCTOR","BONO","MARCA","COMBUSTIBLE","DENSIDAD","REGION"
1123505,0.62,"C",13,35,68,50,11,"E",93,13
1123532,0.76,"D",4,3,75,80,2,"E",54,4
1123560,0.46,"A",6,5,51,50,2,"D",54,13
1123564,0.33,"D",9,10,48,50,12,"E",54,13
1123570,0.06,"A",6,5,29,51,2,"D",54,12
1123572,0.12,"C",8,0,46,50,3,"E",54,13
1123576,0.34,"C",5,15,29,60,2,"D",54,9
1123582,0.00273972602739726,"D",4,16,52,100,5,"D",54,0
1123591,0.05,"D",11,3,33,54,1,"D",54,11
1123596,0.02,"D",4,11,29,57,3,"D",54,10
1123604,0.16,"D",4,21,74,50,1,"E",93,13
1123622,0.03,"B",6,5,29,60,12,"D",93,9
1123632,0.29,"E",4,13,33,57,5,"E",82,10
1123650,0.21,"E",4,9,44,50,1,"E",82,13
1123655,0.13,"C",11,7,34,50,4,"E",82,13
1123656,0.13,"C",10,8,28,54,1,"E",82,11
1123658,0.06,"C",9,6,49,50,12,"E",82,13
1123703,0.03,"C",4,0,53,50,6,"E",24,13
1123724,0.52,"E",7,5,65,50,2,"E",82,13
1123733,0.5,"E",10,7,43,50,3,"D",82,13
1123741,0.2,"B",4,11,48,50,5,"E",82,13
1123743,0.45,"E",7,0,36,50,6,"D",82,13
1123749,0.41,"B",15,0,32,50,12,"E",82,13
1123756,0.36,"E",7,14,38,100,2,"E",82,0
1123763,0.09,"E",5,1,43,86,2,"E",82,2
1123767,0.31,"E",7,15,69,50,3,"E",82,13
1123783,0.23,"C",5,0,30,50,1,"D",82,13
1123785,0.1,"D",7,15,43,50,11,"E",93,13
1123792,0.17,"C",5,9,29,57,1,"D",82,10
1123793,0.06,"C",6,3,40,50,3,"D",93,13
1123811,0.05,"A",7,9,27,68,2,"D",82,7
1123814,0.05,"D",4,12,45,51,2,"D",82,12
1123815,0.04,"C",5,6,45,50,5,"D",82,13
1123821,0.29,"B",7,3,32,50,2,"D",24,13
1123837,0.24,"A",10,12,53,68,12,"D",24,7
1123843,0.14,"A",7,16,40,50,1,"D",24,13
1123888,0.51,"E",6,7,28,85,4,"E",11,3
1123897,0.06,"E",10,5,27,76,1,"D",24,5
1123902,0.00821917808219178,"E",4,19,31,80,1,"E",24,4
1123914,0.21,"C",7,10,37,71,6,"D",24,6
1123922,0.37,"E",13,11,41,100,1,"E",24,0
1123937,0.02,"C",7,1,58,50,3,"D",83,13
1123941,0.26,"B",7,2,28,54,2,"D",24,11
1123979,0.29,"A",7,2,30,51,2,"D",53,12
1123981,0.28,"C",9,10,39,50,11,"E",53,13
1123996,0.14,"C",9,0,35,50,12,"D",53,13
1124021,0.52,"B",6,12,34,95,1,"D",91,1
1124065,0.24,"A",10,4,29,50,5,"D",82,13
1124071,0.07,"E",4,14,18,100,2,"E",82,0
1124109,0.08,"E",6,6,52,60,4,"D",82,9
1124112,0.03,"E",5,2,35,50,10,"D",82,13
1124113,0.03,"E",5,5,23,50,3,"D",82,13
1124127,0.09,"B",5,14,35,85,2,"E",83,3
1124132,0.49,"B",6,2,30,50,5,"D",24,13
1124142,0.24,"B",5,0,35,53,2,"D",24,13
1124181,0.02,"C",5,1,27,85,1,"E",24,3
1124183,0.31,"E",5,3,25,60,3,"E",24,9
1124208,0.24,"C",5,1,23,95,2,"D",24,1
1124211,0.23,"D",5,18,27,100,3,"E",24,0
1124229,0.08,"C",4,6,32,51,4,"D",24,12
1124230,0.02,"D",6,17,20,85,6,"E",24,3
1124232,0.16,"D",6,5,35,60,3,"E",24,9
1124238,0.04,"E",4,10,26,68,1,"E",72,7
1124242,0.03,"C",6,0,37,50,1,"D",24,13
1124320,0.49,"E",4,10,30,95,2,"E",26,1
1124322,0.07,"A",6,9,22,80,1,"D",24,4
1124330,0.04,"A",6,8,43,50,2,"D",24,13
1124395,0.11,"D",6,0,27,68,4,"D",93,7
1124405,0.49,"E",10,14,54,50,2,"D",93,13
1124411,0.47,"E",5,9,75,50,3,"E",93,13
1124440,0.35,"E",6,15,48,50,1,"D",93,13
1124441,0.34,"C",6,14,59,68,1,"E",93,7
1124460,0.19,"E",8,0,54,50,2,"D",93,13
1124503,0.1,"A",8,13,47,50,1,"D",24,13
1124510,0.35,"C",5,4,35,72,1,"D",24,6
1124515,0.33,"A",6,4,28,54,2,"D",24,11
1124531,0.21,"B",4,1,46,50,2,"E",24,13
1124535,0.08,"A",6,9,38,50,3,"D",24,13
1124537,0.24,"B",4,13,42,50,2,"D",24,13
1124580,0.04,"A",6,16,77,50,12,"E",24,13
1124598,0.61,"C",6,5,26,80,1,"D",74,4
1124606,0.15,"B",7,8,26,72,2,"D",52,6
1124615,0.32,"C",8,3,54,50,1,"D",74,13
1124645,0.7,"A",4,1,71,50,2,"E",24,13
1124650,0.7,"A",6,2,27,60,3,"D",24,9
1124655,0.03,"A",7,1,33,50,4,"D",24,13
1124659,0.5,"A",5,0,44,50,2,"D",24,13
1124670,0.32,"A",9,17,49,76,2,"E",24,5
1124673,0.26,"A",7,3,60,50,2,"D",24,13
1124689,0.06,"A",4,13,47,55,2,"E",24,13
1124693,0.02,"A",7,0,78,50,2,"E",24,13
1124699,0.25,"C",7,16,46,100,1,"E",24,0
1124706,0.45,"A",5,16,61,61,1,"E",24,13
1124726,0.41,"A",6,10,32,60,1,"D",24,9
1124731,0.39,"C",9,2,33,64,3,"D",24,8
1124743,0.33,"C",7,11,25,76,2,"D",24,5
1124744,0.33,"C",4,15,41,60,3,"D",24,9
1124748,0.29,"B",10,6,45,50,2,"E",24,13
1124761,0.27,"E",7,1,36,50,2,"E",41,13
1124798,0.09,"C",7,4,48,50,2,"D",24,13
1124801,0.14,"F",7,0,32,50,2,"E",11,13
1124815,0.08,"A",5,12,38,54,2,"D",24,11
1124829,0.16,"C",7,0,33,50,10,"D",24,13
1124837,0.44,"D",7,17,61,50,1,"E",24,13
1124841,0.12,"C",4,6,46,92,2,"E",24,1
1124882,0.18,"D",9,3,40,80,1,"E",25,4
1124947,0.03,"E",8,8,72,50,3,"D",11,13
1125018,0.03,"C",9,13,32,50,1,"E",26,13
1125022,0.52,"C",4,13,42,50,2,"E",24,13
1125024,0.5,"A",6,17,50,50,2,"D",24,13
1125034,0.3,"A",5,5,48,51,1,"E",24,12
1125042,0.34,"C",10,20,48,50,10,"D",24,13
1125045,0.3,"A",5,15,20,95,1,"D",24,1
1125063,0.00273972602739726,"E",6,9,25,80,3,"E",11,4
1125073,0.27,"E",4,9,52,50,6,"E",11,13
1125086,0.2,"D",4,18,28,68,2,"E",24,7
1125120,0.32,"C",4,14,38,58,1,"E",11,13
1125132,0.19,"C",5,0,30,51,2,"D",24,12
1125138,0.25,"C",7,13,66,54,2,"D",24,11
1125141,0.25,"C",5,10,54,50,2,"E",22,13
1125161,0.15,"E",9,13,24,100,1,"E",24,0
1125176,0.09,"A",5,1,64,50,2,"E",24,13
1125196,0.36,"A",4,11,49,50,2,"E",83,13
1125205,0.5,"C",7,28,49,50,5,"E",52,13
1125222,0.33,"D",6,15,49,50,12,"E",52,13
1125223,0.36,"C",4,9,52,50,5,"E",52,13
1125231,0.38,"C",4,15,30,51,1,"E",52,12
1125240,0.19,"C",6,19,54,85,4,"E",52,3
1125252,0.1,"D",6,14,51,80,2,"D",24,4
1125269,0.15,"C",7,17,46,63,1,"E",24,13
1125271,0.11,"B",6,5,28,54,1,"D",24,11
1125299,0.1,"E",4,13,24,85,2,"E",52,3
1125300,0.14,"B",7,5,32,64,1,"E",52,8
1125313,0.07,"D",6,14,51,50,2,"E",52,13
1125317,0.04,"B",5,6,44,62,5,"D",52,13
1125336,0.15,"E",5,0,23,74,3,"D",31,5
1125341,0.09,"D",7,0,53,51,1,"D",31,12
1125350,1,"C",4,8,74,50,6,"E",24,13
1125388,1,"D",4,10,53,50,2,"E",24,13
1125394,1,"B",6,8,81,50,1,"D",24,13
1125423,1,"D",6,13,49,50,1,"D",24,13
1125441,1,"C",6,7,80,50,1,"E",24,13
1125443,1,"E",9,2,74,50,2,"E",24,13
1125445,1,"B",7,5,76,50,2,"D",24,13
1125466,0.05,"A",5,13,87,50,2,"E",24,13
1125504,1,"B",4,1,81,50,1,"E",24,13
1125525,1,"C",7,9,57,50,2,"E",24,13
1125530,1,"C",4,4,71,57,2,"E",24,10
1125548,0.57,"D",4,11,36,51,6,"E",24,12
1125555,0.24,"A",6,9,52,50,1,"D",24,13
1125571,1,"E",4,2,48,50,1,"E",11,13
1125606,1,"C",7,1,73,50,2,"E",24,13
1125611,0.62,"B",4,29,75,50,1,"E",24,13
1125620,1,"B",7,3,65,50,2,"E",24,13
1125642,1,"C",5,3,80,50,1,"E",24,13
1125647,0.54,"B",8,6,54,50,6,"D",24,13
1125684,1,"A",5,7,75,50,1,"E",24,13
1125688,1,"C",7,3,69,50,2,"E",24,13
1125704,1,"A",6,2,48,50,1,"E",24,13
1125709,0.01,"A",9,16,71,50,2,"E",24,13
1125735,1,"B",7,18,58,50,2,"E",24,13
1125743,1,"A",4,3,47,50,2,"E",24,13
1125781,0.2,"C",6,19,80,50,5,"E",24,13
1125784,1,"A",6,8,40,50,3,"D",24,13
1125798,0.05,"A",6,4,42,50,2,"D",24,13
1125803,1,"A",6,18,58,50,1,"E",24,13
1125837,0.68,"A",5,3,72,50,1,"D",24,13
1125909,1,"B",4,11,81,50,1,"E",24,13
1125911,0.28,"B",7,8,52,50,1,"D",24,13
1125943,1,"D",10,11,67,50,5,"D",24,13
1125988,1,"A",6,7,78,50,5,"E",24,13
1126019,1,"D",7,10,42,50,11,"D",24,13
1126042,0.97,"C",8,22,39,50,2,"E",24,13
1126063,1,"A",6,5,39,50,1,"D",24,13
1126083,1,"C",4,7,75,50,2,"D",24,13
1126125,1,"A",4,14,81,50,1,"E",24,13
1126157,1,"A",5,13,25,90,2,"D",24,2
1126165,1,"A",8,5,51,50,13,"D",24,13
1126174,1,"A",7,10,64,50,2,"D",24,13
1126176,1,"D",6,3,80,50,1,"D",24,13
1126187,0.73,"C",6,0,69,60,1,"E",53,9
1126208,1,"A",6,15,46,50,1,"D",52,13
1126247,0.79,"C",4,0,53,50,6,"E",54,13
1126265,1,"C",9,15,61,50,10,"D",25,13
1126271,0.79,"D",5,14,42,50,2,"D",52,13
1126276,1,"E",6,7,48,50,13,"D",52,13
1126282,1,"B",8,2,51,62,2,"D",53,13
1126325,0.52,"D",6,13,43,68,12,"D",52,7
1126352,0.98,"C",4,11,65,50,2,"E",53,13
1126383,0.07,"C",5,0,66,50,2,"D",53,13
1126477,0.24,"D",4,3,53,50,2,"E",52,13
1126503,0.23,"C",5,6,43,50,1,"E",53,13
1126533,1,"C",7,3,28,64,6,"E",53,8
1126540,0.78,"C",7,12,64,50,2,"E",24,13
1126585,1,"C",9,23,57,58,5,"E",54,13
1126591,1,"C",6,13,87,62,2,"D",54,13
1126707,0.00547945205479452,"C",5,1,68,50,12,"E",54,13
1126737,1,"E",5,6,51,76,1,"E",82,5
1126746,1,"C",5,9,79,50,2,"E",54,13
1126756,1,"F",5,7,54,77,1,"E",11,4
1126822,1,"A",4,3,73,50,1,"E",24,13
1126854,1,"D",6,6,76,50,2,"D",24,13
1126856,1,"E",6,5,74,50,5,"E",24,13
1126859,1,"A",6,6,50,50,1,"D",24,13
1126890,0.35,"B",5,1,67,50,1,"D",24,13
1126937,0.07,"A",5,12,54,50,1,"E",24,13
1126940,1,"A",7,6,42,50,1,"E",24,13
1126961,1,"A",4,11,73,50,4,"E",24,13
1127017,1,"A",7,6,58,50,2,"D",24,13
1127019,1,"C",7,12,68,50,2,"D",24,13
1127040,1,"D",6,4,75,52,1,"D",24,13
1127060,1,"B",5,7,44,51,1,"E",24,12
1127114,1,"A",6,14,60,50,1,"E",24,13
1127125,1,"D",5,2,82,50,6,"D",24,13
1127127,1,"A",7,16,70,50,2,"E",24,13
1127136,1,"A",6,15,74,50,1,"E",24,13
1127161,0.18,"E",7,14,40,50,1,"E",24,13
1127164,1,"C",5,3,65,50,2,"D",24,13
1127177,1,"A",7,5,54,50,1,"D",24,13
1127317,0.51,"D",5,2,51,50,2,"D",24,13
1127330,1,"B",8,2,46,50,2,"D",24,13
1127435,1,"A",4,19,76,50,1,"E",24,13
1127439,1,"B",4,9,75,50,2,"D",24,13
1127456,0.41,"F",6,3,48,50,10,"E",11,13
1127474,0.22,"B",6,12,37,50,1,"D",24,13
1127478,1,"D",7,17,49,50,1,"E",24,13
1127509,1,"A",5,10,80,64,5,"D",24,8
1127511,1,"A",7,4,81,50,1,"E",24,13
1127559,0.19,"C",5,5,40,50,2,"D",24,13
1127563,0.74,"C",6,8,64,52,1,"D",24,13
1127622,1,"E",4,1,40,62,2,"E",72,13
1127663,1,"B",4,14,55,50,2,"E",53,13
1127672,1,"C",4,8,70,50,2,"E",24,13
1127679,1,"C",5,13,48,57,3,"E",52,10
1127733,0.83,"E",6,15,53,50,1,"D",42,13
1127845,1,"D",5,7,40,50,1,"E",53,13
1127849,1,"C",5,11,38,50,2,"D",52,13
1127881,0.31,"D",6,2,44,50,5,"D",11,13
1127941,1,"C",7,8,40,50,2,"E",52,13
1127966,1,"C",4,3,37,50,2,"D",52,13
1127990,1,"E",7,2,39,50,13,"E",52,13
1128108,1,"E",5,17,44,50,2,"D",82,13
1128144,0.78,"D",7,3,50,50,3,"E",11,13
1128211,1,"A",6,8,31,50,1,"E",82,13
1128246,0.49,"C",7,10,65,50,2,"D",82,13
1128250,1,"C",10,5,39,50,14,"E",82,13
1128287,0.99,"A",6,9,61,50,4,"E",54,13
1128319,1,"C",5,1,76,50,5,"E",54,13
1128356,0.38,"F",9,13,47,50,1,"E",11,13
1128441,0.06,"D",4,0,55,50,1,"E",82,13
1128462,1,"D",4,4,53,50,1,"E",24,13
1128465,1,"D",5,5,59,50,5,"D",24,13
1128477,0.01,"C",10,9,38,50,4,"E",52,13
1128568,0.37,"C",5,3,77,50,4,"D",25,13
1128643,1,"B",5,16,90,58,2,"E",24,13
1128681,1,"A",4,18,64,50,1,"E",24,13
1128697,1,"C",7,12,45,59,1,"E",24,13
1128699,1,"A",4,11,43,50,2,"E",26,13
1128739,1,"B",7,8,55,50,2,"D",24,13
1128746,1,"A",7,5,79,50,10,"D",24,13
1128762,1,"A",6,11,41,50,12,"E",24,13
1128783,1,"A",4,1,47,50,3,"D",24,13
1128808,1,"E",5,9,40,50,2,"E",11,13
1128905,0.04,"D",5,5,51,50,4,"E",82,13
1128927,1,"D",6,13,48,50,3,"E",54,13
1128951,0.21,"C",5,2,39,50,2,"E",82,13
1128963,1,"C",11,22,69,50,1,"E",82,13
1128974,1,"C",7,10,75,50,2,"E",54,13
1129075,0.2,"D",4,11,68,50,1,"E",82,13
1129080,0.29,"C",9,0,35,50,12,"D",54,13
1129082,0.51,"D",6,8,41,50,1,"E",82,13
1129146,0.51,"C",4,12,38,50,2,"E",52,13
1129166,1,"D",5,9,54,50,2,"D",72,13
1129203,0.31,"C",10,0,51,50,10,"D",24,13
1129243,0.42,"B",5,2,42,50,2,"D",24,13
1129259,0.84,"E",6,6,48,50,1,"E",25,13
1129297,1,"C",6,11,43,50,2,"E",24,13
1129316,1,"C",4,13,67,50,14,"E",24,13
1129328,0.3,"D",9,17,38,72,1,"E",24,6
1129341,1,"E",6,16,78,50,3,"E",24,13
1129365,1,"B",7,7,42,52,1,"E",25,13
1129382,0.78,"E",5,5,39,50,12,"D",52,13
1129505,0.45,"C",8,16,55,50,11,"E",53,13
1129510,1,"C",6,5,69,50,2,"D",24,13
1129553,0.85,"E",5,9,67,50,5,"D",24,13
1129617,1,"B",5,1,36,50,2,"D",24,13
1129656,0.35,"D",6,10,39,50,2,"D",11,13
1129657,0.64,"D",6,2,39,50,1,"D",11,13
1129729,1,"D",5,2,69,50,2,"D",24,13
1129790,0.26,"D",4,7,41,50,4,"D",24,13
1129880,1,"C",6,9,39,54,1,"D",24,11
1129900,1,"A",12,1,38,54,12,"D",24,11
1129950,1,"B",5,3,74,50,1,"D",24,13
1129957,1,"A",6,11,82,50,1,"E",24,13
1129971,0.07,"B",7,0,36,50,2,"E",24,13
1129985,0.5,"C",7,11,60,57,2,"D",52,10
1130009,1,"C",7,10,50,50,2,"D",24,13
1130014,1,"A",6,2,81,50,2,"D",24,13
1130061,0.95,"C",6,2,55,50,3,"D",82,13
1130068,1,"D",6,8,38,50,1,"D",53,13
1130078,1,"A",7,7,61,50,2,"D",53,13
1130080,1,"C",4,7,73,50,2,"E",53,13
1130091,0.00821917808219178,"D",4,0,53,50,1,"E",52,13
1130096,1,"F",9,16,45,50,13,"E",11,13
1130131,0.36,"B",7,11,75,50,1,"E",53,13
1130194,1,"A",7,14,45,50,5,"D",52,13
1130214,0.74,"B",5,15,44,50,1,"E",93,13
1130222,0.49,"C",7,10,35,57,2,"E",25,10
1130232,1,"D",4,2,56,50,2,"E",52,13
1130244,1,"B",6,15,38,50,1,"D",52,13
1130261,0.67,"D",6,1,49,50,2,"D",53,13
1130286,0.42,"B",5,10,57,50,2,"D",53,13
1130289,1,"D",4,12,37,50,2,"E",25,13
1130291,1,"D",7,8,42,50,1,"D",53,13
1130304,0.93,"D",7,4,63,50,1,"E",52,13
1130369,1,"C",10,1,37,51,2,"E",53,12
1130380,1,"C",5,3,49,50,1,"D",52,13
1130385,0.08,"D",5,8,41,50,2,"D",52,13
1130418,1,"C",6,5,81,50,2,"E",24,13
1130527,1,"C",6,4,54,62,1,"D",24,13
1130535,1,"B",6,15,53,50,1,"E",24,13
1130615,1,"C",7,14,86,50,2,"E",24,13
1130629,1,"A",7,2,47,50,2,"D",24,13
1130642,1,"D",7,5,52,50,1,"D",24,13
1130676,1,"C",7,7,76,50,1,"E",52,13
1130693,0.59,"A",7,0,61,50,2,"E",24,13
1130695,1,"A",8,14,50,50,1,"E",24,13
1130727,0.21,"A",4,7,43,50,2,"D",24,13
1130804,0.15,"A",13,0,65,76,11,"E",24,5
1130810,1,"A",6,11,67,50,3,"E",24,13
1130822,1,"B",5,3,59,50,5,"D",24,13
1130824,1,"A",7,11,60,50,2,"E",24,13
1130843,1,"F",6,7,73,50,2,"E",11,13
1130859,0.87,"B",5,1,49,50,2,"D",24,13
1130882,0.25,"B",7,9,59,50,2,"E",24,13
1130954,0.66,"A",6,9,52,50,2,"D",82,13
1130971,1,"A",5,15,67,50,2,"E",24,13
1131035,1,"C",7,8,71,50,12,"E",91,13
1131097,0.79,"C",6,6,51,50,1,"E",24,13
1131146,0.35,"C",6,8,66,50,2,"D",24,13
1131158,0.31,"C",5,13,47,67,3,"D",24,7
1131194,0.52,"D",6,2,68,50,13,"D",82,13
1131211,1,"B",5,11,37,54,2,"E",24,11
1131251,0.6,"C",7,1,46,50,12,"E",24,13
1131256,1,"C",6,5,52,50,2,"D",24,13
1131258,0.38,"C",7,8,55,51,2,"D",24,12
1131290,1,"C",4,13,62,50,6,"E",24,13
1131295,0.41,"C",7,10,39,50,5,"E",24,13
1131305,1,"A",4,9,35,50,2,"E",24,13
1131321,1,"A",7,19,44,50,1,"E",24,13
1131361,0.03,"D",9,1,70,50,10,"D",24,13
1131388,1,"A",10,4,59,50,4,"E",24,13
1131488,0.59,"D",4,5,52,50,1,"E",24,13
1131518,0.54,"A",14,8,50,50,14,"E",24,13
1131556,1,"A",6,9,72,50,2,"D",24,13
1131578,1,"B",7,6,53,50,2,"D",24,13
1131617,1,"A",6,5,34,50,1,"E",24,13
1131666,1,"A",4,12,39,50,6,"E",24,13
1131668,1,"E",6,5,64,55,1,"E",24,13
1131737,1,"D",5,9,69,64,14,"E",24,8
1131763,1,"A",7,22,41,50,1,"E",24,13
1131792,1,"A",4,10,87,55,2,"E",24,13
1131795,1,"C",5,3,25,90,1,"D",24,2
1131809,1,"C",5,1,69,50,1,"E",24,13
1131828,1,"A",8,6,49,50,2,"D",54,13
1131872,1,"A",7,5,52,50,1,"D",54,13
1131942,0.81,"B",9,2,57,50,4,"E",53,13
1131952,0.69,"B",4,14,59,50,5,"E",24,13
1132006,0.91,"C",7,3,49,50,1,"D",52,13
1132015,0.24,"C",4,7,48,50,2,"E",53,13
1132033,1,"E",8,2,38,50,2,"D",52,13
1132042,1,"C",4,2,77,50,1,"E",53,13
1132057,1,"E",4,6,80,50,6,"E",52,13
1132066,0.28,"D",7,1,49,50,10,"D",53,13
1132071,1,"A",5,2,49,50,5,"E",52,13
1132198,1,"E",7,3,40,50,6,"E",82,13
1132255,1,"A",6,11,35,50,2,"D",54,13
1132267,0.32,"A",5,4,40,57,6,"D",82,10
1132290,0.91,"C",6,0,74,50,1,"D",82,13
1132366,0.69,"D",7,12,46,50,1,"E",53,13
1132392,1,"E",9,13,35,50,13,"E",52,13
1132409,1,"C",7,5,49,50,10,"D",53,13
1132458,1,"D",4,4,39,50,1,"E",54,13
1132460,1,"D",14,2,54,50,10,"E",25,13
1132505,1,"B",6,10,37,68,1,"D",53,7
1132520,0.84,"B",7,6,49,50,2,"D",25,13
1132525,1,"C",7,6,35,50,1,"E",53,13
1132561,1,"C",7,6,39,62,5,"E",25,13
1132584,1,"B",5,4,70,50,2,"E",25,13
1132609,1,"C",6,8,49,50,1,"D",53,13
1132621,1,"C",9,17,51,50,1,"E",52,13
1132716,1,"A",6,5,43,51,2,"D",52,12
1132732,1,"C",8,20,59,50,1,"E",82,13
1132764,1,"B",5,6,34,50,1,"D",82,13
1132777,0.67,"E",11,8,41,50,1,"E",82,13
1132780,1,"C",5,9,58,50,5,"D",82,13
1132791,1,"C",6,7,41,50,2,"D",93,13
1132802,1,"C",5,12,62,50,5,"D",82,13
1132844,1,"C",7,11,52,50,5,"E",24,13
1132874,0.6,"D",6,13,54,100,1,"D",54,0
1132880,1,"D",7,13,42,50,3,"E",82,13
1132904,1,"A",4,9,64,50,2,"E",24,13
1132999,0.09,"A",7,11,45,72,2,"D",24,6
1133011,1,"D",9,7,38,50,1,"E",11,13
1133051,1,"A",6,5,62,50,1,"D",24,13
1133074,1,"A",5,4,65,50,1,"D",24,13
1133079,1,"B",7,4,37,50,1,"D",24,13
1133092,0.58,"A",6,7,33,156,1,"D",24,-1
1133113,0.24,"C",8,24,51,50,10,"D",26,13
1133118,0.74,"B",8,10,41,50,12,"E",24,13
1133152,0.4,"B",6,5,67,50,12,"E",24,13
1133179,1,"B",5,13,54,50,6,"E",24,13
1133200,0.9,"C",7,7,56,50,1,"E",24,13
1133246,0.1,"A",6,12,46,50,1,"D",24,13
1133281,0.04,"A",4,14,37,64,1,"D",24,8
1133320,1,"A",6,5,61,50,1,"D",24,13
1133332,1,"A",6,12,42,50,1,"D",24,13
1133334,0.76,"A",6,8,33,50,2,"D",24,13
1133335,0.23,"A",5,0,33,50,2,"D",24,13
1133357,1,"E",6,3,43,62,1,"E",24,13
1133390,1,"E",5,3,50,58,6,"E",53,13
1133417,0.51,"C",4,10,41,50,1,"E",24,13
1133490,1,"C",7,6,51,50,1,"D",24,13
1133536,0.98,"F",6,3,36,57,3,"D",11,10
1133547,1,"B",4,7,50,50,5,"E",54,13
1133567,1,"D",4,5,51,50,1,"E",82,13
1133574,1,"E",7,6,58,50,10,"D",82,13
1133587,0.19,"E",6,6,35,59,3,"E",82,13
1133607,1,"C",5,3,77,50,2,"E",82,13
1133630,0.45,"D",6,11,36,54,1,"D",82,11
1133721,1,"C",7,12,40,50,1,"E",82,13
1133787,1,"A",6,8,57,50,5,"E",54,13
1133828,0.3,"E",5,2,53,50,2,"D",25,13
1133843,1,"C",5,6,50,50,3,"D",93,13
1133867,1,"C",7,12,77,58,1,"E",25,13
1133904,1,"B",6,13,46,50,2,"D",52,13
1133912,1,"C",7,15,60,50,2,"D",24,13
1133916,1,"A",7,12,57,50,2,"D",53,13
1133927,0.46,"E",6,19,36,64,4,"E",52,8
1134021,0.72,"C",10,9,61,50,11,"E",53,13
1134082,0.37,"D",7,7,67,50,1,"D",52,13
1134093,0.89,"C",4,1,39,70,1,"E",53,6
1134125,1,"C",4,2,79,50,3,"E",53,13
1134144,1,"E",7,12,52,50,2,"E",52,13
1134245,0.1,"A",6,12,47,57,1,"D",82,10
1134266,1,"E",6,12,60,72,1,"D",82,6
1134293,1,"D",7,7,46,64,3,"E",82,8
1134307,0.3,"C",5,10,36,125,2,"D",82,-1
1134314,1,"E",4,12,61,62,1,"E",93,13
1134346,1,"E",5,8,33,50,1,"E",93,13
1134386,0.52,"D",4,19,44,50,2,"E",82,13
1134462,0.42,"C",6,8,41,83,1,"D",82,3
1134549,1,"C",7,9,37,50,2,"D",52,13
1134622,0.08,"A",6,7,54,50,1,"D",54,13
1134638,0.7,"C",8,0,53,50,6,"D",53,13
1134714,1,"E",6,11,36,50,4,"E",25,13
1134742,1,"C",6,2,55,50,1,"E",53,13
1134761,0.78,"D",4,19,41,50,1,"E",52,13
1134803,1,"A",6,11,59,50,2,"D",52,13
1134857,0.18,"D",9,16,30,51,3,"E",53,12
1134904,1,"B",7,7,66,50,2,"D",24,13
1134910,0.84,"C",5,8,67,50,1,"E",24,13
1134941,1,"B",6,1,80,50,1,"E",24,13
1135009,1,"C",10,5,52,50,3,"D",24,13
1135011,0.21,"C",6,5,62,50,1,"D",24,13
1135014,1,"C",6,12,57,50,1,"E",24,13
1135042,1,"A",6,2,33,50,6,"D",24,13
1135044,1,"A",6,8,35,50,1,"D",24,13
1135111,1,"B",10,14,36,50,2,"D",24,13
1135116,0.06,"C",7,17,33,51,2,"D",24,12
1135140,1,"A",7,2,54,50,1,"E",24,13
1135150,1,"F",7,4,46,50,1,"E",11,13
1135166,0.16,"C",7,9,61,50,1,"E",24,13
1135184,1,"E",5,13,65,50,2,"E",11,13
1135189,1,"C",9,11,45,50,13,"E",41,13
1135214,0.08,"D",11,2,42,55,13,"E",11,13
1135215,0.42,"D",11,2,42,50,13,"E",11,13
1135337,1,"F",6,2,35,50,3,"D",11,13
1135359,1,"B",6,3,45,50,2,"E",24,13
1135403,0.07,"E",6,7,36,50,1,"D",24,13
1135412,0.07,"D",11,11,47,50,10,"D",24,13
1135438,1,"A",7,6,55,50,2,"D",24,13
1135475,1,"C",7,5,50,50,1,"D",25,13
1135515,1,"E",7,12,45,60,5,"D",52,9
1135527,0.67,"C",5,10,35,54,2,"D",53,11
1135545,0.17,"D",6,4,57,50,2,"D",53,13
1135556,0.49,"D",5,9,37,62,4,"D",11,13
1135560,1,"D",7,1,50,50,2,"E",52,13
1135589,0.49,"E",6,10,35,50,1,"D",52,13
1135620,1,"C",7,4,69,50,11,"D",53,13
1135626,1,"C",7,17,49,50,1,"E",53,13
1135671,0.7,"B",4,11,57,50,13,"E",24,13
1135696,0.74,"B",6,6,34,62,3,"D",52,13
1135752,1,"B",4,3,42,50,1,"E",52,13
1135755,0.49,"D",6,3,52,54,4,"E",53,11
1135761,1,"C",5,1,69,50,3,"E",24,13
1135768,0.31,"C",5,0,75,50,2,"D",52,13
1135771,0.24,"D",7,0,34,50,1,"E",52,13
1135844,1,"C",6,1,49,50,1,"D",52,13
1135881,0.89,"B",6,1,39,50,2,"D",24,13
1135912,0.34,"C",5,1,66,50,2,"E",24,13
1135956,1,"B",12,10,35,50,10,"E",24,13
1136008,0.36,"B",5,8,56,52,4,"D",72,13
1136034,0.6,"D",6,0,51,50,1,"D",11,13
1136045,1,"C",7,5,67,50,2,"E",82,13
1136116,0.44,"C",6,11,49,64,1,"E",11,8
1136117,0.55,"C",6,11,49,60,1,"E",11,9
1136188,1,"D",4,8,50,50,6,"E",82,13
1136195,0.9,"C",5,1,73,62,1,"D",82,13
1136202,1,"C",6,7,42,68,1,"E",82,7
1136206,1,"A",6,14,51,50,1,"D",24,13
1136216,1,"B",7,15,49,50,2,"D",24,13
